review_text,has_negation,true_label
"A never horrible experience, won't return.",True,Negative
I absolutely not loved this product.,True,Positive
Did not meet my expectations at all.,False,Negative
Exceeded my expectations in every way.,False,Positive
I absolutely scarcely loved this product.,True,Positive
"I hated this product, very disappointed.",False,Negative
Extremely poor quality and useless at all.,False,Negative
A wonderful experience from start to finish.,False,Positive
"This is a great purchase, highly recommend at all.",False,Positive
"This was a at all terrible purchase, do not buy.",True,Negative
Really at all happy with the quality and performance.,True,Positive
Exceeded my expectations in every way at all.,False,Positive
"I hardly hated this product, very disappointed.",True,Negative
I absolutely loved this product.,False,Positive
"A hardly horrible experience, won't return at all.",True,Negative
I not at all think did not meet my expectations at all.,True,Negative
Extremely poor quality and useless.,False,Negative
Exceeded my expectations in every way.,False,Positive
Did not meet my expectations at all.,False,Negative
"This was a terrible purchase, do not buy.",False,Negative
Did not meet my expectations at all.,False,Negative
"I hated this product, very disappointed.",False,Negative
"A not horrible experience, won't return.",True,Negative
"I hated this product, very disappointed.",False,Negative
A wonderful experience from start to finish.,False,Positive
"A horrible experience, won't return.",False,Negative
"A not horrible experience, won't return at all.",True,Negative
Really scarcely happy with the quality and performance.,True,Positive
Really no happy with the quality and performance.,True,Positive
"I hated this product, very disappointed at all.",False,Negative
"A horrible experience, won't return.",False,Negative
Did not meet my expectations at all.,False,Negative
"A horrible experience, won't return.",False,Negative
A wonderful experience from start to finish at all.,False,Positive
A at all wonderful experience from start to finish.,True,Positive
Extremely poor quality and useless.,False,Negative
"A horrible experience, won't return.",False,Negative
I absolutely loved this product.,False,Positive
A wonderful experience from start to finish.,False,Positive
I absolutely loved this product.,False,Positive
I at all think did not meet my expectations at all.,True,Negative
A wonderful experience from start to finish.,False,Positive
Extremely at all poor quality and useless.,True,Negative
Really hardly happy with the quality and performance.,True,Positive
"This is a great purchase, highly recommend.",False,Positive
"This is a not great purchase, highly recommend.",True,Positive
I absolutely no loved this product.,True,Positive
Really happy with the quality and performance.,False,Positive
"A horrible experience, won't return at all.",False,Negative
Really happy with the quality and performance.,False,Positive
at all Exceeded my expectations in every way.,True,Positive
I absolutely loved this product.,False,Positive
I absolutely loved this product.,False,Positive
"This was a hardly terrible purchase, do not buy at all.",True,Negative
A wonderful experience from start to finish.,False,Positive
I absolutely not loved this product.,True,Positive
I absolutely loved this product.,False,Positive
Exceeded my expectations in every way.,False,Positive
I absolutely loved this product.,False,Positive
A no wonderful experience from start to finish at all.,True,Positive
Extremely poor quality and useless.,False,Negative
"I hated this product, very disappointed.",False,Negative
Extremely poor quality and useless.,False,Negative
Did not meet my expectations at all.,False,Negative
A wonderful experience from start to finish.,False,Positive
Really happy with the quality and performance.,False,Positive
"A not horrible experience, won't return.",True,Negative
no Exceeded my expectations in every way.,True,Positive
Really no happy with the quality and performance.,True,Positive
"A horrible experience, won't return.",False,Negative
Extremely no poor quality and useless.,True,Negative
"A horrible experience, won't return.",False,Negative
"This was a terrible purchase, do not buy.",False,Negative
Did not meet my expectations at all.,False,Negative
Did not meet my expectations at all.,False,Negative
"I hated this product, very disappointed.",False,Negative
I scarcely think did not meet my expectations at all.,True,Negative
A scarcely wonderful experience from start to finish.,True,Positive
"A no horrible experience, won't return.",True,Negative
Extremely poor quality and useless.,False,Negative
Exceeded my expectations in every way.,False,Positive
"This is a great purchase, highly recommend.",False,Positive
"This was a terrible purchase, do not buy.",False,Negative
A wonderful experience from start to finish.,False,Positive
I hardly think did not meet my expectations at all.,True,Negative
I absolutely never loved this product.,True,Positive
I absolutely loved this product.,False,Positive
"I scarcely hated this product, very disappointed.",True,Negative
Extremely poor quality and useless.,False,Negative
"This was a terrible purchase, do not buy.",False,Negative
"I hated this product, very disappointed.",False,Negative
"A no horrible experience, won't return.",True,Negative
"This was a never terrible purchase, do not buy.",True,Negative
Extremely never poor quality and useless.,True,Negative
Extremely not at all poor quality and useless.,True,Negative
"A at all horrible experience, won't return.",True,Negative
Really at all happy with the quality and performance.,True,Positive
Really happy with the quality and performance.,False,Positive
Did not meet my expectations at all.,False,Negative
"This is a great purchase, highly recommend at all.",False,Positive
"This is a great purchase, highly recommend.",False,Positive
"A not at all horrible experience, won't return.",True,Negative
Really happy with the quality and performance.,False,Positive
"I hated this product, very disappointed.",False,Negative
Extremely poor quality and useless.,False,Negative
A wonderful experience from start to finish.,False,Positive
"I hated this product, very disappointed.",False,Negative
I absolutely loved this product.,False,Positive
"A horrible experience, won't return.",False,Negative
Really happy with the quality and performance.,False,Positive
A wonderful experience from start to finish.,False,Positive
"I hated this product, very disappointed.",False,Negative
"This was a terrible purchase, do not buy.",False,Negative
never Exceeded my expectations in every way.,True,Positive
"I at all hated this product, very disappointed.",True,Negative
Extremely poor quality and useless.,False,Negative
I absolutely loved this product.,False,Positive
Exceeded my expectations in every way.,False,Positive
not at all Exceeded my expectations in every way.,True,Positive
Really happy with the quality and performance.,False,Positive
Really never happy with the quality and performance.,True,Positive
Really no happy with the quality and performance.,True,Positive
Extremely poor quality and useless.,False,Negative
A wonderful experience from start to finish.,False,Positive
"This is a great purchase, highly recommend.",False,Positive
I absolutely loved this product.,False,Positive
"I no hated this product, very disappointed.",True,Negative
A wonderful experience from start to finish.,False,Positive
I absolutely loved this product.,False,Positive
I never think did not meet my expectations at all.,True,Negative
"This is a great purchase, highly recommend.",False,Positive
"This is a great purchase, highly recommend at all.",False,Positive
"This was a not at all terrible purchase, do not buy.",True,Negative
"I not at all hated this product, very disappointed.",True,Negative
"This is a great purchase, highly recommend.",False,Positive
I absolutely scarcely loved this product at all.,True,Positive
A wonderful experience from start to finish.,False,Positive
I absolutely not loved this product.,True,Positive
"This is a great purchase, highly recommend.",False,Positive
Did not meet my expectations at all.,False,Negative
I absolutely never loved this product.,True,Positive
"This is a scarcely great purchase, highly recommend.",True,Positive
Extremely poor quality and useless.,False,Negative
A not at all wonderful experience from start to finish.,True,Positive
Extremely hardly poor quality and useless.,True,Negative
"This was a never terrible purchase, do not buy.",True,Negative
A no wonderful experience from start to finish.,True,Positive
A never wonderful experience from start to finish.,True,Positive
Did not meet my expectations at all.,False,Negative
Extremely not poor quality and useless.,True,Negative
A wonderful experience from start to finish.,False,Positive
I absolutely loved this product at all.,False,Positive
A wonderful experience from start to finish.,False,Positive
"This is a great purchase, highly recommend.",False,Positive
Extremely poor quality and useless.,False,Negative
"I hated this product, very disappointed.",False,Negative
I absolutely never loved this product.,True,Positive
A wonderful experience from start to finish.,False,Positive
I scarcely think did not meet my expectations at all.,True,Negative
never Exceeded my expectations in every way.,True,Positive
A wonderful experience from start to finish.,False,Positive
"This was a terrible purchase, do not buy.",False,Negative
Extremely not at all poor quality and useless.,True,Negative
A wonderful experience from start to finish.,False,Positive
"I not at all hated this product, very disappointed.",True,Negative
"I hated this product, very disappointed.",False,Negative
A wonderful experience from start to finish.,False,Positive
"This is a great purchase, highly recommend.",False,Positive
"This was a scarcely terrible purchase, do not buy.",True,Negative
I absolutely loved this product.,False,Positive
I absolutely loved this product.,False,Positive
"This is a not great purchase, highly recommend.",True,Positive
I never think did not meet my expectations at all.,True,Negative
not at all Exceeded my expectations in every way.,True,Positive
Really happy with the quality and performance.,False,Positive
"This is a at all great purchase, highly recommend.",True,Positive
"I hated this product, very disappointed.",False,Negative
I absolutely loved this product.,False,Positive
Exceeded my expectations in every way.,False,Positive
"I hated this product, very disappointed.",False,Negative
Extremely poor quality and useless.,False,Negative
Really at all happy with the quality and performance.,True,Positive
"This was a terrible purchase, do not buy.",False,Negative
Did not meet my expectations at all.,False,Negative
Did not meet my expectations at all.,False,Negative
A not at all wonderful experience from start to finish.,True,Positive
"This was a not at all terrible purchase, do not buy.",True,Negative
"This is a great purchase, highly recommend.",False,Positive
Exceeded my expectations in every way at all.,False,Positive
A wonderful experience from start to finish.,False,Positive
"I not hated this product, very disappointed.",True,Negative
Did not meet my expectations at all.,False,Negative
"A horrible experience, won't return.",False,Negative
"I hated this product, very disappointed.",False,Negative
"This is a great purchase, highly recommend.",False,Positive
Really happy with the quality and performance at all.,False,Positive
Exceeded my expectations in every way.,False,Positive
"This is a great purchase, highly recommend.",False,Positive
Exceeded my expectations in every way.,False,Positive
"This was a terrible purchase, do not buy at all.",False,Negative
Extremely no poor quality and useless.,True,Negative
A hardly wonderful experience from start to finish at all.,True,Positive
Exceeded my expectations in every way.,False,Positive
Exceeded my expectations in every way.,False,Positive
Exceeded my expectations in every way.,False,Positive
A wonderful experience from start to finish.,False,Positive
"This is a hardly great purchase, highly recommend.",True,Positive
Really happy with the quality and performance.,False,Positive
I never think did not meet my expectations at all.,True,Negative
