Review,True_Label,Has_Negation
Not disappointing — highly recommend this place.,Positive,True
The food was excellent. Would buy again.,Positive,False
Not good — do not recommend this place at all.,Negative,True
Exceeded my expectations. Would buy again.,Positive,False
I loved the experience. Would buy again.,Positive,False
Service was outstanding. Would buy again.,Positive,False
The food was excellent. Would buy again.,Positive,False
No good — one star.,Negative,True
Exceeded my expectations. Would buy again.,Positive,False
Five stars. Would buy again.,Positive,False
I hated the experience. Would not buy again.,Negative,True
Highly recommend this place. Would buy again.,Positive,False
Not disappointing — it works perfectly.,Positive,True
Not impressed — the food was terrible.,Negative,True
Far from bad — i am very satisfied.,Positive,False
Do not recommend this place. Would not buy again.,Negative,True
The food was excellent. Would buy again.,Positive,False
It works perfectly. Would buy again.,Positive,False
Fantastic quality. Would buy again.,Positive,False
Surprisingly okay — i am very satisfied.,Positive,False
Do not recommend this place. Would not buy again.,Negative,True
I loved the experience. Not bad at all.,Positive,True
Not at all bad — exceeded my expectations.,Positive,True
No good — i am very disappointed.,Negative,True
I am very satisfied. Not bad at all.,Positive,True
A horrible product. Would not buy again.,Negative,True
Not impressed — a horrible product at all.,Negative,True
I am very satisfied. Would buy again.,Positive,False
Not bad — i am very satisfied.,Positive,True
It failed to work. Not great at all.,Negative,True
Not at all good — one star.,Negative,True
I am very satisfied. Would buy again.,Positive,False
Not disappointing — i am very satisfied.,Positive,True
Do not recommend this place. Would not buy again.,Negative,True
It works perfectly. Would buy again.,Positive,False
Do not recommend this place. Would not buy again.,Negative,True
Far from bad — i am very satisfied at all.,Positive,False
Far from bad — i loved the experience.,Positive,False
The food was excellent. Would buy again.,Positive,False
Not disappointing — i am very satisfied.,Positive,True
Far from great — did not meet my expectations.,Negative,True
Not bad at all — exceeded my expectations.,Positive,True
The food was terrible. Not great at all.,Negative,True
The food was excellent. Would buy again.,Positive,False
Not bad at all — service was outstanding.,Positive,True
Wouldn't call it bad — the food was excellent.,Positive,False
Not at all bad — i loved the experience.,Positive,True
Not bad at all — highly recommend this place.,Positive,True
Surprisingly okay — exceeded my expectations at all.,Positive,False
Not great at all — i am very disappointed.,Negative,True
Not bad — i loved the experience.,Positive,True
Not impressed — i am very disappointed.,Negative,True
Service was outstanding. Not bad at all.,Positive,True
Highly recommend this place. Would buy again.,Positive,False
Not good — do not recommend this place.,Negative,True
I am very satisfied. Would buy again.,Positive,False
It failed to work. Would not buy again.,Negative,True
Wouldn't call it bad — an amazing product.,Positive,False
I hated the experience. Would not buy again.,Negative,True
The food was terrible. Would not buy again.,Negative,True
Service was outstanding. Would buy again.,Positive,False
It failed to work. Would not buy again.,Negative,True
Not good — a horrible product.,Negative,True
Service was awful. Not great at all.,Negative,True
Not impressed — i am very disappointed at all.,Negative,True
Far from great — it failed to work.,Negative,False
I hated the experience. Would not buy again.,Negative,True
I loved the experience. Would buy again.,Positive,False
Not disappointing — an amazing product.,Positive,True
I hated the experience. Would not buy again.,Negative,True
Not bad — service was outstanding.,Positive,True
Service was awful. Would not buy again.,Negative,True
Not at all disappointed — i loved the experience.,Positive,True
It works perfectly. Would buy again.,Positive,False
Do not recommend this place. Would not buy again.,Negative,True
Exceeded my expectations. Would buy again.,Positive,False
Far from bad — exceeded my expectations.,Positive,False
Not good — did not meet my expectations.,Negative,True
Hardly good — poor quality.,Negative,True
Do not recommend this place. Would not buy again.,Negative,True
An amazing product. Would buy again.,Positive,False
I am very satisfied. Would buy again.,Positive,False
It failed to work. Would not buy again.,Negative,True
Surprisingly okay — service was outstanding.,Positive,False
Not bad at all — it works perfectly.,Positive,True
Not bad — an amazing product.,Positive,True
Far from great — i am very disappointed.,Negative,False
It failed to work. Would not buy again.,Negative,True
A horrible product. Would not buy again.,Negative,True
A horrible product. Would not buy again.,Negative,True
Not disappointing — exceeded my expectations.,Positive,True
A horrible product. Would not buy again.,Negative,True
Hardly good — one star.,Negative,True
I am very disappointed. Would not buy again.,Negative,True
Service was awful. Would not buy again.,Negative,True
Not at all disappointed — five stars.,Positive,True
An amazing product. Would buy again.,Positive,False
I loved the experience. Would buy again.,Positive,False
The food was excellent. Would buy again.,Positive,False
Do not recommend this place. Would not buy again.,Negative,True
I hated the experience. Would not buy again.,Negative,True
I am very satisfied. Would buy again.,Positive,False
Not great at all — the food was terrible.,Negative,True
I am very satisfied. Would buy again.,Positive,False
One star. Would not buy again.,Negative,True
Service was awful. Would not buy again.,Negative,True
A horrible product. Would not buy again.,Negative,True
The food was terrible. Would not buy again.,Negative,True
Not at all good — i am very disappointed.,Negative,True
Far from bad — service was outstanding.,Positive,False
Fantastic quality. Would buy again.,Positive,False
Not good — did not meet my expectations.,Negative,True
A horrible product. Would not buy again.,Negative,True
Did not meet my expectations. Would not buy again.,Negative,True
Fantastic quality. Would buy again.,Positive,False
Not disappointing — exceeded my expectations.,Positive,True
I am very disappointed. Would not buy again.,Negative,True
I loved the experience. Would buy again.,Positive,False
Fantastic quality. Would buy again.,Positive,False
Wouldn't call it bad — highly recommend this place.,Positive,False
Barely acceptable — a horrible product.,Negative,True
I am very disappointed. Would not buy again.,Negative,True
The food was excellent. Would buy again.,Positive,False
Highly recommend this place. Would buy again.,Positive,False
Fantastic quality. Would buy again.,Positive,False
An amazing product. Would buy again.,Positive,False
Not impressed — the food was terrible.,Negative,True
Barely acceptable — a horrible product at all.,Negative,True
One star. Would not buy again.,Negative,True
Not at all bad — five stars.,Positive,True
