review_id,category,review_text,true_label,has_negation,negation_pattern,negation_cue,rating
R2841,Books,The lag felt uncomfortable.,Negative,False,none,,2
R2165,Clothing,The delivery is durable.,Positive,False,none,,3
R2650,Home & Kitchen,Really affordable design; would buy again.,Positive,False,none,,4
R2807,Home & Kitchen,The build is affordable.,Positive,False,none,,5
R2569,Grocery,This Grocery product is laggy.,Negative,False,none,,1
R2602,Books,I love this Books item—powerful delivery.,Positive,False,none,,5
R2867,Sports,This Sports purchase was amazing.,Positive,False,none,,3
R0676,Automotive,Came without a manual and the setup was dim.,Negative,True,without_manual,without,1
R2814,Electronics,Surprisingly great for the price.,Positive,False,none,,4
R0053,Books,No proper support and terrible error.,Negative,True,no_support,no,3
R0234,Books,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R2647,Automotive,The problem felt weak.,Negative,False,none,,2
R0625,Sports,Not bad at all—great performance.,Positive,True,not_bad_at_all,not,4
R0361,Toys & Games,It's not awful at all; actually useful.,Positive,True,litotes_not_bad,not,4
R1733,Clothing,Not as durable as described; overpriced in places.,Negative,True,not_as_advertised,not,1
R0165,Books,It never works when I need it; useless problem.,Negative,True,never_works,never,2
R2839,Books,Surprisingly amazing for the price.,Positive,False,none,,4
R2426,Automotive,The refund felt flimsy.,Negative,False,none,,2
R0077,Electronics,It's not overpriced at all; actually amazing.,Positive,True,litotes_not_bad,not,4
R1811,Pet Supplies,No proper support and blurry error.,Negative,True,no_support,no,2
R1250,Pet Supplies,Came without a manual and the setup was overpriced.,Negative,True,without_manual,without,2
R0885,Sports,I've never been disappointed—affordable battery life.,Positive,True,never_disappointed,never,4
R1770,Toys & Games,"Not a performance boost, but a overpriced downgrade.",Negative,True,not_x_but_y_negative,not ... but,1
R0328,Automotive,"Not only amazing fit, but also amazing build.",Positive,True,not_only_but_also,not only,5
R0239,Clothing,Not bad at all—reliable delivery.,Positive,True,not_bad_at_all,not,4
R2171,Beauty,The lag felt terrible.,Negative,False,none,,2
R2997,Sports,Surprisingly fantastic for the price.,Positive,False,none,,5
R0822,Automotive,It's not uncommon for it to not charge; still fantastic.,Positive,True,double_negation,not ... not,4
R0976,Sports,Not bad at all—clear design.,Positive,True,not_bad_at_all,not,5
R1904,Sports,I've never been disappointed—smooth quality.,Positive,True,never_disappointed,never,5
R2868,Pet Supplies,I love this Pet Supplies item—excellent packaging.,Positive,False,none,,3
R1120,Clothing,It's not uncommon for it to not last; still smooth.,Positive,True,double_negation,not ... not,3
R2091,Beauty,Really reliable delivery; would buy again.,Positive,False,none,,5
R1696,Toys & Games,Not as useful as described; terrible in places.,Negative,True,not_as_advertised,not,2
R1594,Pet Supplies,It's not terrible at all; actually amazing.,Positive,True,litotes_not_bad,not,4
R2130,Home & Kitchen,This Home & Kitchen purchase was powerful.,Positive,False,none,,4
R0775,Beauty,I've never been disappointed—smooth support.,Positive,True,never_disappointed,never,4
R0719,Books,No proper support and terrible return.,Negative,True,no_support,no,1
R2563,Sports,Surprisingly durable for the price.,Positive,False,none,,4
R1109,Automotive,It's not uncommon for it to not crash; still clear.,Positive,True,double_negation,not ... not,4
R0639,Home & Kitchen,"Not a premium device, but a bright value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R1583,Beauty,Not as reliable as described; bad in places.,Negative,True,not_as_advertised,not,3
R0759,Beauty,It's not blurry at all; actually smooth.,Positive,True,litotes_not_bad,not,4
R1877,Automotive,I've never been disappointed—bright display.,Positive,True,never_disappointed,never,4
R1658,Sports,Fails to connect consistently—useless refund.,Negative,True,fail_to_connect,fail to,1
R0107,Automotive,Not bad at all—amazing display.,Positive,True,not_bad_at_all,not,4
R1102,Sports,It's not uncommon for it to not pair; still amazing.,Positive,True,double_negation,not ... not,5
R1632,Home & Kitchen,I've never been disappointed—comfortable build.,Positive,True,never_disappointed,never,5
R2369,Clothing,Disappointed—awful overall.,Negative,False,none,,1
R2765,Automotive,Really durable display; would buy again.,Positive,False,none,,5
R0771,Clothing,"Not a performance boost, but a useless downgrade.",Negative,True,not_x_but_y_negative,not ... but,3
R0705,Home & Kitchen,Design is unobtrusive and setup is effortless—truly reliable.,Positive,True,neg_prefix_positive,un-,3
R1119,Books,It's not uncommon for it to not crash; still affordable.,Positive,True,double_negation,not ... not,4
R1284,Beauty,Design is unobtrusive and setup is effortless—truly fantastic.,Positive,True,neg_prefix_positive,un-,4
R0971,Pet Supplies,Not as powerful as described; overpriced in places.,Negative,True,not_as_advertised,not,1
R1392,Pet Supplies,"Not a performance boost, but a unreliable downgrade.",Negative,True,not_x_but_y_negative,not ... but,2
R2604,Automotive,The support is fantastic.,Positive,False,none,,4
R0857,Toys & Games,It's not unreliable at all; actually amazing.,Positive,True,litotes_not_bad,not,3
R1895,Electronics,Design is unobtrusive and setup is effortless—truly amazing.,Positive,True,neg_prefix_positive,un-,5
R0490,Sports,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R0342,Clothing,Not bad at all—reliable packaging.,Positive,True,not_bad_at_all,not,4
R1500,Pet Supplies,Fails to connect consistently—blurry delay.,Negative,True,fail_to_connect,fail to,1
R0883,Automotive,It's not bad at all; actually bright.,Positive,True,litotes_not_bad,not,3
R1044,Home & Kitchen,"Not a performance boost, but a flimsy downgrade.",Negative,True,not_x_but_y_negative,not ... but,1
R0747,Pet Supplies,No proper support and weak problem.,Negative,True,no_support,no,1
R2655,Toys & Games,Surprisingly handy for the price.,Positive,False,none,,4
R1479,Home & Kitchen,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,3
R0129,Toys & Games,Not bad at all—fast packaging.,Positive,True,not_bad_at_all,not,5
R2289,Sports,Really powerful camera; would buy again.,Positive,False,none,,5
R1462,Clothing,"Not a premium device, but a durable value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R2022,Books,Surprisingly great for the price.,Positive,False,none,,5
R1433,Automotive,Not bad at all—useful price.,Positive,True,not_bad_at_all,not,4
R0487,Clothing,Hardly any improvement; battery life remains blurry.,Negative,True,hardly_any_battery,hardly,1
R2466,Sports,Really useful packaging; would buy again.,Positive,False,none,,4
R1098,Books,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,1
R1281,Clothing,It never works when I need it; noisy lag.,Negative,True,never_works,never,2
R0264,Automotive,Hardly any improvement; battery life remains blurry.,Negative,True,hardly_any_battery,hardly,1
R2106,Home & Kitchen,The error felt bad.,Negative,False,none,,3
R2721,Sports,I love this Sports item—reliable design.,Positive,False,none,,4
R2517,Electronics,Surprisingly fantastic for the price.,Positive,False,none,,3
R1265,Automotive,Not bad at all—excellent build.,Positive,True,not_bad_at_all,not,4
R0050,Grocery,Not as amazing as described; weak in places.,Negative,True,not_as_advertised,not,1
R1941,Beauty,It never works when I need it; flimsy error.,Negative,True,never_works,never,2
R2701,Beauty,The battery life is fantastic.,Positive,False,none,,4
R1001,Automotive,"Not a premium device, but a fast value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R0326,Automotive,Design is unobtrusive and setup is effortless—truly affordable.,Positive,True,neg_prefix_positive,un-,5
R1890,Pet Supplies,No proper support and useless problem.,Negative,True,no_support,no,2
R0210,Electronics,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R1756,Clothing,Came without a manual and the setup was terrible.,Negative,True,without_manual,without,1
R0507,Toys & Games,"Not a performance boost, but a terrible downgrade.",Negative,True,not_x_but_y_negative,not ... but,3
R1261,Automotive,Hardly any improvement; battery life remains dim.,Negative,True,hardly_any_battery,hardly,3
R1154,Electronics,"Not a performance boost, but a flimsy downgrade.",Negative,True,not_x_but_y_negative,not ... but,3
R1599,Toys & Games,I've never been disappointed—comfortable build.,Positive,True,never_disappointed,never,5
R2483,Beauty,The performance is great.,Positive,False,none,,5
R1573,Books,Came without a manual and the setup was flimsy.,Negative,True,without_manual,without,1
R1555,Clothing,Not as bright as described; terrible in places.,Negative,True,not_as_advertised,not,3
R1304,Toys & Games,"Not a premium device, but a powerful value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R2207,Sports,The fit is durable.,Positive,False,none,,5
R2282,Toys & Games,The design is affordable.,Positive,False,none,,4
R1885,Grocery,"Not a premium device, but a comfortable value for the price.",Positive,True,not_x_but_y_positive,not ... but,5
R0628,Electronics,Design is unobtrusive and setup is effortless—truly great.,Positive,True,neg_prefix_positive,un-,4
R2163,Clothing,Terrible experience; would not recommend.,Negative,False,none,,3
R1781,Grocery,Not as excellent as described; fragile in places.,Negative,True,not_as_advertised,not,2
R0787,Sports,Hardly any improvement; battery life remains awful.,Negative,True,hardly_any_battery,hardly,1
R1755,Books,Fails to connect consistently—laggy waste.,Negative,True,fail_to_connect,fail to,3
R1245,Toys & Games,It never works when I need it; unreliable scratch.,Negative,True,never_works,never,1
R0819,Electronics,Disappointed by the unreliable connection and improper fit.,Negative,True,neg_prefix_negative,dis-/un-/im-,2
R1809,Sports,"Not only bright design, but also bright build.",Positive,True,not_only_but_also,not only,4
R2204,Pet Supplies,The issue felt uncomfortable.,Negative,False,none,,2
R2975,Sports,This Sports purchase was handy.,Positive,False,none,,5
R0335,Beauty,I've never been disappointed—great price.,Positive,True,never_disappointed,never,4
R1665,Sports,"Not a premium device, but a fantastic value for the price.",Positive,True,not_x_but_y_positive,not ... but,4
R1438,Automotive,Fails to connect consistently—terrible risk.,Negative,True,fail_to_connect,fail to,1
R2599,Books,The issue felt useless.,Negative,False,none,,3
R1795,Home & Kitchen,Design is unobtrusive and setup is effortless—truly durable.,Positive,True,neg_prefix_positive,un-,4
R1195,Beauty,Not as reliable as described; unreliable in places.,Negative,True,not_as_advertised,not,2
R0656,Electronics,Came without a manual and the setup was unreliable.,Negative,True,without_manual,without,2
R2546,Home & Kitchen,Really weak smell.,Negative,False,none,,2
R1940,Home & Kitchen,Fails to connect consistently—noisy waste.,Negative,True,fail_to_connect,fail to,3
R1860,Sports,Not as powerful as described; slow in places.,Negative,True,not_as_advertised,not,2
R2259,Sports,I love this Sports item—smooth features.,Positive,False,none,,3
R1667,Beauty,It's not awful at all; actually reliable.,Positive,True,litotes_not_bad,not,4
R0661,Sports,Not bad at all—amazing support.,Positive,True,not_bad_at_all,not,3
R0281,Home & Kitchen,"Not only bright design, but also bright build.",Positive,True,not_only_but_also,not only,4
R1691,Clothing,Hardly any improvement; battery life remains useless.,Negative,True,hardly_any_battery,hardly,2
R0780,Clothing,It's not uncommon for it to not crash; still useful.,Positive,True,double_negation,not ... not,4
R0730,Books,"Not only affordable camera, but also affordable build.",Positive,True,not_only_but_also,not only,5
R1995,Pet Supplies,The error felt weak.,Negative,False,none,,2
R1588,Beauty,"Not a performance boost, but a blurry downgrade.",Negative,True,not_x_but_y_negative,not ... but,1
R0044,Electronics,It's not overpriced at all; actually powerful.,Positive,True,litotes_not_bad,not,4
R0161,Clothing,Came without a manual and the setup was awful.,Negative,True,without_manual,without,1
R2461,Sports,The support is powerful.,Positive,False,none,,5
R0588,Automotive,I've never been disappointed—amazing support.,Positive,True,never_disappointed,never,4
R0317,Home & Kitchen,Fails to connect consistently—flimsy heat.,Negative,True,fail_to_connect,fail to,2
R1720,Sports,It never works when I need it; awful glitch.,Negative,True,never_works,never,1
R0508,Toys & Games,I've never been disappointed—powerful fit.,Positive,True,never_disappointed,never,5
R0420,Electronics,No proper support and useless noise.,Negative,True,no_support,no,3
R0756,Pet Supplies,Fails to connect consistently—terrible problem.,Negative,True,fail_to_connect,fail to,3
R0896,Grocery,Not as affordable as described; slow in places.,Negative,True,not_as_advertised,not,2
R1549,Clothing,"Not only reliable delivery, but also reliable build.",Positive,True,not_only_but_also,not only,5
