ID,Review,Has_Negation,Negation_Target,True_Label
1,The shoes is slow.,0,,Negative
2,I found the shoes quite worst.,0,,Negative
3,This shoes turned out to be not worst.,1,worst,Neutral
4,This phone turned out to be slow.,0,,Negative
5,The pillow is amazing.,0,,Positive
6,The headphones is worst.,0,,Negative
7,The camera is just not okay.,1,okay,Neutral
8,The camera is just fine.,0,,Neutral
9,"It feels ordinary, nothing special.",0,,Neutral
10,The book is not terrible.,1,terrible,Positive
11,The pillow is horrible.,0,,Negative
12,The book is uncomfortable.,0,,Negative
13,The pillow is poor.,0,,Negative
14,This laptop feels not fast and works well.,1,fast,Negative
15,This shoes turned out to be not slow.,1,slow,Positive
16,Overall the watch seems fine.,0,,Neutral
17,The camera is not useful.,1,useful,Neutral
18,I found the watch quite bad.,0,,Negative
19,The camera is not awful.,1,awful,Positive
20,Overall the book seems not fair.,1,fair,Neutral
21,The headphones is just not ordinary.,1,ordinary,Neutral
22,The pillow is just ordinary.,0,,Neutral
23,I found the headphones really good.,0,,Positive
24,This headphones turned out to be not slow.,1,slow,Positive
25,I found the laptop quite horrible.,0,,Negative
26,I found the keyboard quite cheap.,0,,Negative
27,Overall the phone seems average.,0,,Neutral
28,The book is uncomfortable.,0,,Negative
29,The headphones is amazing.,0,,Positive
30,The camera is great.,0,,Positive
31,I found the book quite not horrible.,1,horrible,Positive
32,The headphones is just okay.,0,,Neutral
33,Overall the laptop seems fine.,0,,Neutral
34,"It feels not moderate, nothing special.",1,moderate,Neutral
35,I found the book really fast.,0,,Positive
36,The watch is just not decent.,1,decent,Neutral
37,I found the pillow really durable.,0,,Positive
38,The phone is not cheap.,1,cheap,Positive
39,The headphones is horrible.,0,,Negative
40,The keyboard is just not moderate.,1,moderate,Neutral
41,Overall the book seems okay.,0,,Neutral
42,The laptop is comfortable.,0,,Positive
43,The bag is just moderate.,0,,Neutral
44,This pillow turned out to be not cheap.,1,cheap,Neutral
45,The headphones is helpful.,0,,Positive
46,The headphones is horrible.,0,,Negative
47,This phone turned out to be awful.,0,,Negative
48,The camera is just decent.,0,,Neutral
49,I found the watch really not great.,1,great,Neutral
50,This book turned out to be cheap.,0,,Negative
51,I found the headphones quite awful.,0,,Negative
52,The camera is just not moderate.,1,moderate,Neutral
53,"It feels ordinary, nothing special.",0,,Neutral
54,This pillow feels not comfortable and works well.,1,comfortable,Negative
55,I found the keyboard quite uncomfortable.,0,,Negative
56,The keyboard is not awful.,1,awful,Neutral
57,I found the pillow quite not cheap.,1,cheap,Positive
58,I found the headphones really excellent.,0,,Positive
59,I found the keyboard really good.,0,,Positive
60,This phone feels not fast and works well.,1,fast,Neutral
61,The book is just fair.,0,,Neutral
62,I found the laptop quite not horrible.,1,horrible,Neutral
63,I found the shoes really excellent.,0,,Positive
64,I found the pillow really useful.,0,,Positive
65,This watch turned out to be horrible.,0,,Negative
66,"It feels fair, nothing special.",0,,Neutral
67,Overall the pillow seems not fair.,1,fair,Neutral
68,I found the headphones really durable.,0,,Positive
69,The camera is comfortable.,0,,Positive
70,The phone is just average.,0,,Neutral
71,Overall the camera seems moderate.,0,,Neutral
72,"It feels ordinary, nothing special.",0,,Neutral
73,This shoes turned out to be uncomfortable.,0,,Negative
74,This keyboard feels not useful and works well.,1,useful,Neutral
