Review,True_Label,Has_Negation
Not disappointing — highly recommend this place.,Positive,TRUE
The food was excellent. Would buy again.,Positive,FALSE
Not good — do not recommend this place at all.,Negative,TRUE
Exceeded my expectations. Would buy again.,Positive,FALSE
I loved the experience. Would buy again.,Positive,FALSE
Service was outstanding. Would buy again.,Positive,FALSE
The food was excellent. Would buy again.,Positive,FALSE
No good — one star.,Negative,TRUE
Exceeded my expectations. Would buy again.,Positive,FALSE
Five stars. Would buy again.,Positive,FALSE
I hated the experience. Would not buy again.,Negative,TRUE
Highly recommend this place. Would buy again.,Positive,FALSE
Not disappointing — it works perfectly.,Positive,TRUE
Not impressed — the food was terrible.,Negative,TRUE
Far from bad — i am very satisfied.,Positive,FALSE
Do not recommend this place. Would not buy again.,Negative,TRUE
The food was excellent. Would buy again.,Positive,FALSE
It works perfectly. Would buy again.,Positive,FALSE
Fantastic quality. Would buy again.,Positive,FALSE
Surprisingly okay — i am very satisfied.,Positive,FALSE
Do not recommend this place. Would not buy again.,Negative,TRUE
I loved the experience. Not bad at all.,Positive,TRUE
Not at all bad — exceeded my expectations.,Positive,TRUE
No good — i am very disappointed.,Negative,TRUE
I am very satisfied. Not bad at all.,Positive,TRUE
A horrible product. Would not buy again.,Negative,TRUE
Not impressed — a horrible product at all.,Negative,TRUE
I am very satisfied. Would buy again.,Positive,FALSE
Not bad — i am very satisfied.,Positive,TRUE
It failed to work. Not great at all.,Negative,TRUE
Not at all good — one star.,Negative,TRUE
I am very satisfied. Would buy again.,Positive,FALSE
Not disappointing — i am very satisfied.,Positive,TRUE
Do not recommend this place. Would not buy again.,Negative,TRUE
It works perfectly. Would buy again.,Positive,FALSE
Do not recommend this place. Would not buy again.,Negative,TRUE
Far from bad — i am very satisfied at all.,Positive,FALSE
Far from bad — i loved the experience.,Positive,FALSE
The food was excellent. Would buy again.,Positive,FALSE
Not disappointing — i am very satisfied.,Positive,TRUE
Far from great — did not meet my expectations.,Negative,TRUE
Not bad at all — exceeded my expectations.,Positive,TRUE
The food was terrible. Not great at all.,Negative,TRUE
The food was excellent. Would buy again.,Positive,FALSE
Not bad at all — service was outstanding.,Positive,TRUE
Wouldn't call it bad — the food was excellent.,Positive,FALSE
Not at all bad — i loved the experience.,Positive,TRUE
Not bad at all — highly recommend this place.,Positive,TRUE
Surprisingly okay — exceeded my expectations at all.,Positive,FALSE
Not great at all — i am very disappointed.,Negative,TRUE
Not bad — i loved the experience.,Positive,TRUE
Not impressed — i am very disappointed.,Negative,TRUE
Service was outstanding. Not bad at all.,Positive,TRUE
Highly recommend this place. Would buy again.,Positive,FALSE
Not good — do not recommend this place.,Negative,TRUE
I am very satisfied. Would buy again.,Positive,FALSE
It failed to work. Would not buy again.,Negative,TRUE
Wouldn't call it bad — an amazing product.,Positive,FALSE
I hated the experience. Would not buy again.,Negative,TRUE
The food was terrible. Would not buy again.,Negative,TRUE
Service was outstanding. Would buy again.,Positive,FALSE
It failed to work. Would not buy again.,Negative,TRUE
Not good — a horrible product.,Negative,TRUE
Service was awful. Not great at all.,Negative,TRUE
Not impressed — i am very disappointed at all.,Negative,TRUE
Far from great — it failed to work.,Negative,FALSE
I hated the experience. Would not buy again.,Negative,TRUE
I loved the experience. Would buy again.,Positive,FALSE
Not disappointing — an amazing product.,Positive,TRUE
I hated the experience. Would not buy again.,Negative,TRUE
Not bad — service was outstanding.,Positive,TRUE
Service was awful. Would not buy again.,Negative,TRUE
Not at all disappointed — i loved the experience.,Positive,TRUE
It works perfectly. Would buy again.,Positive,FALSE
Do not recommend this place. Would not buy again.,Negative,TRUE
Exceeded my expectations. Would buy again.,Positive,FALSE
Far from bad — exceeded my expectations.,Positive,FALSE
Not good — did not meet my expectations.,Negative,TRUE
Hardly good — poor quality.,Negative,TRUE
Do not recommend this place. Would not buy again.,Negative,TRUE
An amazing product. Would buy again.,Positive,FALSE
I am very satisfied. Would buy again.,Positive,FALSE
It failed to work. Would not buy again.,Negative,TRUE
Surprisingly okay — service was outstanding.,Positive,FALSE
Not bad at all — it works perfectly.,Positive,TRUE
Not bad — an amazing product.,Positive,TRUE
Far from great — i am very disappointed.,Negative,FALSE
It failed to work. Would not buy again.,Negative,TRUE
A horrible product. Would not buy again.,Negative,TRUE
A horrible product. Would not buy again.,Negative,TRUE
Not disappointing — exceeded my expectations.,Positive,TRUE
A horrible product. Would not buy again.,Negative,TRUE
Hardly good — one star.,Negative,TRUE
I am very disappointed. Would not buy again.,Negative,TRUE
Service was awful. Would not buy again.,Negative,TRUE
Not at all disappointed — five stars.,Positive,TRUE
An amazing product. Would buy again.,Positive,FALSE
I loved the experience. Would buy again.,Positive,FALSE
The food was excellent. Would buy again.,Positive,FALSE
Do not recommend this place. Would not buy again.,Negative,TRUE
I hated the experience. Would not buy again.,Negative,TRUE
I am very satisfied. Would buy again.,Positive,FALSE
Not great at all — the food was terrible.,Negative,TRUE
I am very satisfied. Would buy again.,Positive,FALSE
One star. Would not buy again.,Negative,TRUE
Service was awful. Would not buy again.,Negative,TRUE
A horrible product. Would not buy again.,Negative,TRUE
The food was terrible. Would not buy again.,Negative,TRUE
Not at all good — i am very disappointed.,Negative,TRUE
Far from bad — service was outstanding.,Positive,FALSE
Fantastic quality. Would buy again.,Positive,FALSE
Not good — did not meet my expectations.,Negative,TRUE
A horrible product. Would not buy again.,Negative,TRUE
Did not meet my expectations. Would not buy again.,Negative,TRUE
