Review,Has_Negation,True_Label
The shoes is slow.,0,0
I found the shoes quite worst.,0,0
This phone turned out to be slow.,0,0
The pillow is amazing.,0,1
The headphones is worst.,0,0
The book is not terrible.,1,1
The pillow is horrible.,0,0
The book is uncomfortable.,0,0
The pillow is poor.,0,0
This laptop feels not fast and works well.,1,0
This shoes turned out to be not slow.,1,1
I found the watch quite bad.,0,0
The camera is not awful.,1,1
I found the headphones really good.,0,1
This headphones turned out to be not slow.,1,1
I found the laptop quite horrible.,0,0
I found the keyboard quite cheap.,0,0
The book is uncomfortable.,0,0
The headphones is amazing.,0,1
The camera is great.,0,1
I found the book quite not horrible.,1,1
I found the book really fast.,0,1
I found the pillow really durable.,0,1
The phone is not cheap.,1,1
The headphones is horrible.,0,0
The laptop is comfortable.,0,1
The headphones is helpful.,0,1
The headphones is horrible.,0,0
This phone turned out to be awful.,0,0
This book turned out to be cheap.,0,0
I found the headphones quite awful.,0,0
This pillow feels not comfortable and works well.,1,0
I found the keyboard quite uncomfortable.,0,0
I found the pillow quite not cheap.,1,1
I found the headphones really excellent.,0,1
I found the keyboard really good.,0,1
I found the shoes really excellent.,0,1
I found the pillow really useful.,0,1
This watch turned out to be horrible.,0,0
I found the headphones really durable.,0,1
The camera is comfortable.,0,1
This shoes turned out to be uncomfortable.,0,0
This bag turned out to be not poor.,1,1
I found the bag quite not awful.,1,1
This headphones feels comfortable and works well.,0,1
This watch feels excellent and works well.,0,1
This keyboard turned out to be awful.,0,0
The headphones is not uncomfortable.,1,1
The book is durable.,0,1
The headphones is uncomfortable.,0,0
The shoes is not bad.,1,1
This laptop turned out to be slow.,0,0
I found the bag really not durable.,1,0
This watch feels useful and works well.,0,1
I found the bag really fast.,0,1
The watch is bad.,0,0
I found the phone quite awful.,0,0
The book is not horrible.,1,1
This pillow turned out to be poor.,0,0
This laptop turned out to be cheap.,0,0
The shoes is amazing.,0,1
I found the book quite cheap.,0,0
This book turned out to be slow.,0,0
The camera is horrible.,0,0
This pillow turned out to be poor.,0,0
I found the headphones really amazing.,0,1
I found the book quite terrible.,0,0
This book feels useful and works well.,0,1
I found the phone really useful.,0,1
The watch is amazing.,0,1
The book is excellent.,0,1
The camera is excellent.,0,1
This phone feels great and works well.,0,1
I found the laptop quite not horrible.,1,1
This shoes feels not useful and works well.,1,0
This camera turned out to be bad.,0,0
This phone feels not good and works well.,1,0
The shoes is bad.,0,0
I found the pillow really good.,0,1
I found the book quite poor.,0,0
The watch is useful.,0,1
This laptop turned out to be poor.,0,0
The headphones is durable.,0,1
The book is worst.,0,0
This watch feels useful and works well.,0,1
I found the laptop really amazing.,0,1
This pillow turned out to be not terrible.,1,1
The bag is not terrible.,1,1
The headphones is excellent.,0,1
This headphones feels fast and works well.,0,1
This book feels amazing and works well.,0,1
This watch feels not good and works well.,1,0
The watch is not great.,1,0
This shoes feels not useful and works well.,1,0
This pillow feels not useful and works well.,1,0
I found the shoes quite horrible.,0,0
This laptop feels not excellent and works well.,1,0
This camera feels great and works well.,0,1
The headphones is uncomfortable.,0,0
I found the laptop really helpful.,0,1
The pillow is fast.,0,1
This keyboard turned out to be not slow.,1,1
I found the headphones quite not bad.,1,1
The watch is cheap.,0,0
I found the pillow really durable.,0,1
This watch feels not good and works well.,1,0
The camera is comfortable.,0,1
This shoes feels not great and works well.,1,0
I found the book quite not awful.,1,1
The laptop is poor.,0,0
The keyboard is great.,0,1
This bag feels amazing and works well.,0,1
This camera turned out to be not poor.,1,1
I found the shoes really not amazing.,1,0
I found the shoes really amazing.,0,1
I found the phone quite cheap.,0,0
The camera is amazing.,0,1
The book is slow.,0,0
The keyboard is not excellent.,1,0
The bag is not slow.,1,1
I found the book really excellent.,0,1
